Latitude,Longitude,Elevation,Distance,Orientation
37.08436800,-88.40971400,118.00,0.25,126.64
37.08426300,-88.40953700,118.00,0.25,126.95
37.08399600,-88.40909200,118.00,0.25,126.82
37.08370100,-88.40859800,117.00,0.25,127.24
37.08355000,-88.40834900,117.00,0.25,127.72
37.08321800,-88.40781100,115.00,0.25,126.46
37.08312900,-88.40766000,116.00,0.25,125.67
37.08305400,-88.40752900,114.00,0.25,124.69
37.08301700,-88.40746200,116.00,0.25,122.44
37.08294600,-88.40732200,116.00,0.25,120.43
37.08287900,-88.40717900,117.00,0.25,118.79
37.08284700,-88.40710600,117.00,0.25,116.94
37.08281700,-88.40703200,117.00,0.25,115.47
37.08277900,-88.40693200,118.00,0.25,113.08
37.08276200,-88.40688200,118.00,0.25,111.47
37.08273000,-88.40678000,118.00,0.25,108.99
37.08271600,-88.40672900,118.00,0.25,106.00
37.08268100,-88.40657600,118.00,0.25,103.04
37.08265200,-88.40641900,118.00,0.25,100.53
37.08261300,-88.40615600,118.00,0.25,102.02
37.08260400,-88.40610300,119.00,0.25,99.24
37.08252700,-88.40551000,121.00,0.25,98.82
37.08250000,-88.40529200,121.00,0.25,99.52
37.08246000,-88.40499300,123.00,0.25,100.17
37.08239000,-88.40450400,124.00,0.25,100.72
37.08233500,-88.40414000,125.00,0.25,99.77
37.08228800,-88.40379800,125.00,0.25,100.57
37.08226300,-88.40363000,125.00,0.25,99.68
37.08224000,-88.40346100,122.00,0.25,100.55
37.08220300,-88.40321200,121.00,0.26,98.83
37.08217300,-88.40297000,119.00,0.26,99.97
37.08207900,-88.40230000,118.00,0.26,100.97
37.08200000,-88.40178900,120.00,0.26,100.04
37.08197600,-88.40161900,121.00,0.26,101.59
37.08196700,-88.40156400,121.00,0.26,99.43
37.08190100,-88.40106600,118.00,0.26,99.87
37.08186200,-88.40078500,116.00,0.26,100.92
37.08183600,-88.40061600,116.00,0.26,100.04
37.08181200,-88.40044600,116.00,0.26,101.38
37.08179000,-88.40030900,116.00,0.26,99.21
37.08177900,-88.40022400,117.00,0.26,100.27
37.08175400,-88.40005100,117.00,0.26,97.73
37.08174100,-88.39993100,118.00,0.26,99.20
37.08169500,-88.39957500,119.00,0.26,99.97
37.08161800,-88.39902600,118.00,0.26,102.55
37.08159100,-88.39887400,116.00,0.26,100.04
37.08154300,-88.39853400,114.00,0.26,100.69
37.08143800,-88.39783700,114.00,0.26,99.66
37.08135100,-88.39719600,110.00,0.26,99.65
37.08126700,-88.39657700,110.00,0.26,100.09
37.08116000,-88.39582300,116.00,0.26,100.55
37.08109400,-88.39537900,114.00,0.26,100.18
37.08097100,-88.39452000,116.00,0.26,99.44
37.08083600,-88.39350200,122.00,0.27,98.97
37.08076900,-88.39297000,124.00,0.27,96.56
37.08067400,-88.39193500,121.00,0.27,95.77
37.08059700,-88.39098000,119.00,0.27,94.20
37.08058400,-88.39075800,117.00,0.27,94.87
37.08057700,-88.39065500,117.00,0.27,96.12
37.08056100,-88.39046800,115.00,0.27,95.79
37.08054700,-88.39029500,115.00,0.27,93.38
37.08053700,-88.39008300,116.00,0.27,92.79
37.08053000,-88.38990300,118.00,0.27,93.73
37.08051700,-88.38965300,119.00,0.27,90.84
37.08051500,-88.38948200,119.00,0.27,91.70
37.08051100,-88.38931300,118.00,0.27,90.64
37.08050900,-88.38909000,116.00,0.27,88.29
37.08051300,-88.38892200,116.00,0.27,86.09
37.08051900,-88.38881200,115.00,0.27,84.29
37.08053200,-88.38864900,115.00,0.27,81.50
37.08054500,-88.38854000,115.00,0.27,80.22
37.08055600,-88.38846000,118.00,0.27,78.49
37.08058200,-88.38830000,118.00,0.27,76.52
37.08064800,-88.38795500,119.00,0.27,75.20
37.08068700,-88.38777000,121.00,0.27,77.69
37.08074900,-88.38741400,121.00,0.27,79.08
37.08077900,-88.38721900,120.00,0.27,78.23
37.08084800,-88.38680400,124.00,0.27,78.70
